ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Melbourne,1876/77,Test # 1,Australia,245,169.3,1st INNINGS,245,0,49,104,0,169.3,0,5,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1876/77,Test # 1,England,196,136.1,1st INNINGS,0,196,-49,0,108,0,136.1,5,Australia,0,1st INNINGS,2,Australia,0
Melbourne,1876/77,Test # 2,Australia,122,112.1,1st INNINGS,122,0,-139,259,0,112.1,0,5,Australia,0,1st INNINGS,1,England,0
Melbourne,1876/77,Test # 2,England,261,130.2,1st INNINGS,0,261,139,0,122,0,130.2,5,Australia,0,1st INNINGS,2,England,1
Melbourne,1878/79,Test # 3,England,113,54,1st INNINGS,113,0,-143,160,0,54,0,3,England,0,1st INNINGS,2,Australia,0
Melbourne,1878/79,Test # 3,Australia,256,159.3,1st INNINGS,0,256,143,0,19,0,159.3,3,England,0,1st INNINGS,1,Australia,1
Kennington,1880,Test # 4,England,420,210.3,1st INNINGS,420,0,271,327,0,210.3,0,3,England,0,1st INNINGS,1,England,1
Kennington,1880,Test # 4,Australia,149,75.1,1st INNINGS,0,149,-271,0,57,0,75.1,3,England,0,1st INNINGS,2,England,0
Melbourne,1881/82,Test # 5,England,294,170.2,1st INNINGS,294,0,-26,308,0,170.2,0,5,England,0,1st INNINGS,2,drawn,2
Melbourne,1881/82,Test # 5,Australia,320,237,1st INNINGS,0,320,26,0,127,0,237,5,England,0,1st INNINGS,1,drawn,2
Sydney,1881/82,Test # 6,England,133,115,1st INNINGS,133,0,-64,232,0,115,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1881/82,Test # 6,Australia,197,194.2,1st INNINGS,0,197,64,0,169,0,194.2,5,England,0,1st INNINGS,1,Australia,1
Sydney,1881/82,Test # 7,England,188,140.2,1st INNINGS,188,0,-74,134,0,140.2,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1881/82,Test # 7,Australia,262,172,1st INNINGS,0,262,74,0,64,0,172,5,England,0,1st INNINGS,1,Australia,1
Melbourne,1881/82,Test # 8,England,309,159.2,1st INNINGS,309,0,9,234,0,159.2,0,5,England,0,1st INNINGS,2,drawn,2
Melbourne,1881/82,Test # 8,Australia,300,163.1,1st INNINGS,0,300,-9,0,0,0,163.1,5,England,0,1st INNINGS,1,drawn,2
Kennington,1882,Test # 9,Australia,63,80,1st INNINGS,63,0,-38,122,0,80,0,2,Australia,0,1st INNINGS,2,Australia,1
Kennington,1882,Test # 9,England,101,71.3,1st INNINGS,0,101,38,0,77,0,71.3,2,Australia,0,1st INNINGS,1,Australia,0
Melbourne,1882/83,Test # 10,Australia,291,169,1st INNINGS,291,0,114,169,0,169,0,4,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1882/83,Test # 10,England,177,107.2,1st INNINGS,0,177,-114,0,58,0,107.2,4,Australia,0,1st INNINGS,2,Australia,0
Melbourne,1882/83,Test # 11,England,294,183.3,1st INNINGS,294,0,180,153,0,183.3,0,4,England,0,1st INNINGS,2,England,1
Melbourne,1882/83,Test # 11,Australia,114,98.2,1st INNINGS,0,114,-180,0,0,0,98.2,4,England,0,1st INNINGS,1,England,0
Sydney,1882/83,Test # 12,England,247,143,1st INNINGS,247,0,29,123,0,143,0,5,England,0,1st INNINGS,2,England,1
Sydney,1882/83,Test # 12,Australia,218,179.1,1st INNINGS,0,218,-29,0,83,0,179.1,5,England,0,1st INNINGS,1,England,0
Sydney,1882/83,Test # 13,England,263,155,1st INNINGS,263,0,1,197,0,155,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1882/83,Test # 13,Australia,262,146,1st INNINGS,0,262,-1,0,199,0,146,5,England,0,1st INNINGS,1,Australia,1
Old,1884,Test # 14,England,95,63,1st INNINGS,95,0,-87,180,0,63,0,3,England,0,1st INNINGS,1,drawn,2
Old,1884,Test # 14,Australia,182,130,1st INNINGS,0,182,87,0,0,0,130,3,England,0,1st INNINGS,2,drawn,2
"Lord's,",1884,Test # 15,Australia,229,105.2,1st INNINGS,229,0,-150,145,0,105.2,0,3,Australia,0,1st INNINGS,2,England,0
"Lord's,",1884,Test # 15,England,379,184.1,1st INNINGS,0,379,150,0,0,0,184.1,3,Australia,0,1st INNINGS,1,England,1
Kennington,1884,Test # 16,Australia,551,311,1st INNINGS,551,0,205,85,0,311,0,3,Australia,0,1st INNINGS,2,drawn,2
Kennington,1884,Test # 16,England,346,198,1st INNINGS,0,346,-205,0,0,0,198,3,Australia,0,1st INNINGS,1,drawn,2
Adelaide,1884/85,Test # 17,Australia,243,149.1,1st INNINGS,243,0,-126,191,0,149.1,0,5,Australia,0,1st INNINGS,1,England,0
Adelaide,1884/85,Test # 17,England,369,243.2,1st INNINGS,0,369,126,0,67,0,243.2,5,Australia,0,1st INNINGS,2,England,1
