scorecard,summary
https://www.espncricinfo.com//series/england-tour-of-australia-1876-77-61716/australia-vs-england-1st-test-62396/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1876-77-61716/australia-vs-england-1st-test-62396/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1876-77-61716/australia-vs-england-2nd-test-62397/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1876-77-61716/australia-vs-england-2nd-test-62397/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1878-79-61733/australia-vs-england-only-test-62398/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1878-79-61733/australia-vs-england-only-test-62398/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1880-61336/england-vs-australia-only-test-62399/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1880-61336/england-vs-australia-only-test-62399/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-1st-test-62400/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-1st-test-62400/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-2nd-test-62401/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-2nd-test-62401/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-3rd-test-62402/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-3rd-test-62402/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-4th-test-62403/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1881-82-61738/australia-vs-england-4th-test-62403/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1882-61352/england-vs-australia-only-test-62404/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1882-61352/england-vs-australia-only-test-62404/live-cricket-score
https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-62405/full-scorecard,https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-62405/live-cricket-score
https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-1st-test-62406/full-scorecard,https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-1st-test-62406/live-cricket-score
https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-2nd-test-62407/full-scorecard,https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-2nd-test-62407/live-cricket-score
https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-3rd-test-62408/full-scorecard,https://www.espncricinfo.com//series/england-ifw-bligh-s-xi-tour-of-australia-1882-83-61726/australia-vs-england-3rd-test-62408/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-1st-test-62409/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-1st-test-62409/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-2nd-test-62410/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-2nd-test-62410/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-3rd-test-62411/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1884-61343/england-vs-australia-3rd-test-62411/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-1st-test-62412/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-1st-test-62412/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-2nd-test-62413/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-2nd-test-62413/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-3rd-test-62414/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-3rd-test-62414/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-4th-test-62415/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-4th-test-62415/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-5th-test-62416/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1884-85-61734/australia-vs-england-5th-test-62416/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-1st-test-62417/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-1st-test-62417/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-2nd-test-62418/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-2nd-test-62418/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-3rd-test-62419/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1886-61362/england-vs-australia-3rd-test-62419/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1886-87-61715/australia-vs-england-1st-test-62420/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1886-87-61715/australia-vs-england-1st-test-62420/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1886-87-61715/australia-vs-england-2nd-test-62421/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1886-87-61715/australia-vs-england-2nd-test-62421/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-australia-1887-88-61712/australia-vs-england-only-test-62422/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-australia-1887-88-61712/australia-vs-england-only-test-62422/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-1st-test-62423/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-1st-test-62423/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-2nd-test-62424/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-2nd-test-62424/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-3rd-test-62425/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1888-61333/england-vs-australia-3rd-test-62425/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-south-africa-1888-89-61689/south-africa-vs-england-1st-test-62426/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-south-africa-1888-89-61689/south-africa-vs-england-1st-test-62426/live-cricket-score
https://www.espncricinfo.com//series/england-tour-of-south-africa-1888-89-61689/south-africa-vs-england-2nd-test-62427/full-scorecard,https://www.espncricinfo.com//series/england-tour-of-south-africa-1888-89-61689/south-africa-vs-england-2nd-test-62427/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1890-61339/england-vs-australia-1st-test-62428/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1890-61339/england-vs-australia-1st-test-62428/live-cricket-score
https://www.espncricinfo.com//series/australia-tour-of-england-1890-61339/england-vs-australia-2nd-test-62429/full-scorecard,https://www.espncricinfo.com//series/australia-tour-of-england-1890-61339/england-vs-australia-2nd-test-62429/live-cricket-score
